                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1702,                 3.7057,                 3.8609,                0.10514,                0.05913,                0.02209,                0.00562,                 2.8558,                 3.3517,                 3.5383,               0.070167,              0.0033148,              0.0033148
                      2,                 3.0327,                 3.2029,                 3.4179,                0.07852,                0.08997,                0.03074,                 0.0087,                 2.6522,                 3.1997,                 3.1894,               0.040035,              0.0065165,              0.0065165
                      3,                  2.594,                 2.9976,                  3.032,                0.23043,                0.23136,                 0.1333,                 0.0434,                 2.2336,                    3.6,                 2.8772,              0.0097714,              0.0095862,              0.0095862
                      4,                  2.191,                 2.5826,                 2.6473,                 0.4274,                0.25964,                0.27154,                 0.1236,                 1.8218,                 2.6832,                 2.4053,               0.009406,               0.009406,               0.009406
                      5,                 1.9171,                 2.2941,                 2.3689,                0.52845,                0.44473,                0.46673,                 0.2663,                 1.5913,                 2.0811,                 2.1476,               0.009208,               0.009208,               0.009208
                      6,                 1.7344,                 2.1288,                 2.1837,                0.56417,                0.52442,                 0.5396,                0.31419,                 1.4657,                 2.0919,                 2.0043,                0.00901,                0.00901,                0.00901
                      7,                 1.5916,                 1.9419,                   2.06,                0.68148,                0.56041,                0.62077,                0.39369,                 1.3751,                 1.6181,                 1.8777,               0.008812,               0.008812,               0.008812
                      8,                 1.5117,                  1.822,                 1.9818,                0.79775,                0.58869,                0.68794,                0.45632,                 1.2269,                 1.4822,                  1.739,               0.008614,               0.008614,               0.008614
                      9,                 1.4303,                 1.7626,                 1.8891,                0.66166,                0.66067,                0.68961,                0.46077,                 1.1967,                 1.4259,                  1.735,               0.008416,               0.008416,               0.008416
                     10,                 1.3866,                 1.6342,                 1.8419,                0.71646,                 0.6581,                0.72751,                0.50609,                 1.1504,                 1.2936,                 1.6809,               0.008218,               0.008218,               0.008218
                     11,                 1.3297,                 1.5658,                 1.7891,                0.78346,                0.67609,                0.74695,                0.51379,                 1.1116,                 1.2912,                 1.6072,                0.00802,                0.00802,                0.00802
                     12,                 1.2925,                 1.5304,                  1.768,                0.76042,                 0.6838,                 0.7638,                0.54414,                 1.0659,                  1.253,                 1.5679,               0.007822,               0.007822,               0.007822
